applied force,friction force (static),"friction force (static, kinetic)"
0,0,0
5,-4.9461332,-4.9461332
10,-9.9466549,-9.9466549
15,-14.947179,-14.947179
20,-19.947667,-19.947667
25,-24.948126,-24.948126
30,-29.94859,-29.94859
35,-34.949112,-34.949112
40,-39.949591,-39.949591
45,-44.95005,-44.95005
50,-49.950495,-49.950495
55,-54.950929,-54.950929
60,-59.951354,-59.951354
65,-64.951771,-64.951771
70,-69.952178,-69.952178
75,-74.952578,-74.952578
80,-79.95297,-79.95297
85,-84.953353,-84.953353
90,-89.95373,-89.95373
95,-94.954098,-94.954098
100,-99.95446,-99.95446
105,-104.95481,-104.95481
110,-109.95516,-109.95516
115,-114.9555,-114.9555
120,-119.95584,-119.95584
125,-124.95617,-124.95617
130,-129.95649,-129.95649
135,-134.9568,-134.9568
140,-139.95711,-139.95711
145,-144.95742,-144.95742
150,-149.95771,-149.95771
155,-154.95801,-154.95801
160,-159.95829,-159.95829
165,-164.95857,-164.95857
170,-169.95885,-169.95885
175,-174.95912,-174.95912
180,-179.95939,-179.95939
185,-184.95965,-184.95965
190,-189.9599,-189.9599
195,-194.96016,-194.96016
200,-199.9604,-199.9604
205,-204.96064,-204.96064
210,-209.96088,-209.96088
215,-214.96112,-214.96112
220,-219.96135,-219.96135
225,-224.96157,-224.96157
230,-229.96179,-229.96179
235,-234.96201,-234.96201
240,-239.96222,-239.96222
245,-244.96243,-244.96243
250,-249.96263,-249.96263
255,-254.96283,-254.96283
260,-259.96303,-259.96303
265,-264.96322,-264.96322
270,-269.96341,-269.96341
275,-274.9636,-274.9636
280,-279.96378,-279.96378
285,-284.96396,-284.96396
290,-289.96414,-289.96414
295,-294.96431,-294.96431
300,-299.96448,-299.96448
305,-304.96464,-304.96464
310,-309.96481,-309.96481
315,-314.96497,-314.96497
320,-319.96512,-319.96512
325,-324.96527,-324.96527
330,-329.96542,-329.96542
335,-334.96557,-334.96557
340,-339.96571,-339.96571
345,-344.96586,-344.96586
350,-349.96599,-349.96599
355,-354.96613,-354.96613
360,-359.96626,-359.96626
365,-364.96639,-364.96639
370,-369.96651,-369.96651
375,-374.96664,-374.96664
380,-379.96676,-379.96676
385,-384.96688,-384.96688
390,-389.96699,-389.96699
395,-394.9671,-394.9671
400,-399.96721,-399.96721
405,-404.96732,-404.96732
410,-409.96742,-409.96742
415,-414.96752,-414.96752
420,-419.96762,-419.96762
425,-424.96772,-424.96772
430,-429.96781,-429.96781
435,-434.9679,-434.9679
440,-439.96799,-439.96799
445,-444.96808,-444.96808
450,-449.96816,-449.96816
455,-454.96824,-454.96824
460,-459.96832,-459.96832
465,-464.96839,-464.96839
470,-469.96846,-469.96846
475,-474.96853,-474.96853
480,-479.9686,-479.9686
485,-484.96866,-484.96866
490,-489.96873,-489.96873
495,-494.96879,-494.96879
500,-499.96884,-499.96884
505,-504.9689,-504.9689
510,-509.96895,-509.96895
515,-514.969,-514.969
520,-519.96904,-519.96904
525,-524.96909,-524.96909
530,-529.96913,-529.96913
535,-534.96917,-534.96917
540,-539.9692,-539.9692
545,-544.96924,-544.96924
550,-549.96927,-549.96927
555,-554.96929,-554.96929
560,-559.96932,-559.96932
565,-564.96934,-564.96934
570,-569.96936,-569.96936
575,-574.96938,-574.96938
580,-579.96939,-579.96939
585,-584.9694,-584.9694
590,-589.96941,-589.96941
595,-594.96941,-594.96941
600,-599.96942,-599.96942
605,-604.96942,-604.96942
610,-609.96941,-609.96941
615,-614.96941,-614.96941
620,-619.9694,-619.9694
625,-624.96938,-624.96938
630,-629.96937,-629.96937
635,-634.96935,-634.96935
640,-639.96933,-639.96933
645,-644.9693,-644.9693
650,-649.96927,-649.96927
655,-654.96924,-654.96924
660,-659.96921,-659.96921
665,-664.96917,-664.96917
670,-669.96913,-669.96913
675,-674.96908,-674.96908
680,-679.96903,-679.96903
685,-684.96898,-684.96898
690,-689.96892,-689.96892
695,-694.96886,-694.96886
700,-699.9688,-699.9688
705,-704.96873,-704.96873
710,-709.96866,-709.96866
715,-714.96858,-714.96858
720,-719.9685,-719.9685
725,-724.96842,-724.96842
730,-729.96833,-729.96833
735,-734.96824,-734.96824
740,-739.96814,-739.96814
745,-744.96804,-744.96804
750,-749.96794,-749.96794
755,-754.96782,-754.96782
760,-759.96771,-759.96771
765,-764.96759,-764.96759
770,-769.96746,-769.96746
775,-774.96733,-774.96733
780,-779.9672,-779.9672
785,-784.96706,-784.96706
790,-789.96691,-789.96691
795,-794.96676,-794.96676
800,-799.9666,-799.9666
805,-804.96644,-804.96644
810,-809.96627,-809.96627
815,-814.9661,-814.9661
820,-819.96591,-819.96591
825,-824.96573,-824.96573
830,-829.96553,-829.96553
835,-834.96533,-834.96533
840,-839.96512,-839.96512
845,-844.96491,-844.96491
850,-849.96468,-849.96468
855,-854.96445,-854.96445
860,-859.96421,-859.96421
865,-864.96397,-864.96397
870,-869.96371,-869.96371
875,-874.96345,-874.96345
880,-879.96318,-879.96318
885,-884.9629,-884.9629
890,-889.96261,-889.96261
895,-894.96231,-894.96231
900,-899.962,-899.962
905,-904.96168,-904.96168
910,-909.96135,-909.96135
915,-914.96101,-914.96101
920,-919.96066,-919.96066
925,-924.9603,-924.9603
930,-929.95993,-929.95993
935,-934.95954,-934.95954
940,-939.95914,-939.95914
945,-944.95873,-944.95873
950,-949.9583,-949.9583
955,-954.95786,-954.95786
960,-959.95741,-959.95741
965,-964.95694,-964.95694
970,-969.95645,-969.95645
975,-974.95595,-974.95595
980,-979.95544,-979.95544
985,-984.9549,-984.9549
990,-989.95435,-989.95435
995,-994.95377,-994.95377
1000,-999.95318,-999.95318
1005,-1004.9526,-1004.9526
1010,-1009.9519,-1009.9519
1015,-1014.9513,-1014.9513
1020,-1019.9506,-1019.9506
1025,-1024.9499,-1024.9499
1030,-1029.9492,-1029.9492
1035,-1034.9484,-1034.9484
1040,-1039.9476,-1039.9476
1045,-1044.9468,-1044.9468
1050,-1049.946,-1049.946
1055,-1054.9451,-1054.9451
1060,-1059.9442,-1059.9442
1065,-1064.9433,-1064.9433
1070,-1069.9423,-1069.9423
1075,-1074.9413,-1074.9413
1080,-1079.9403,-1079.9403
1085,-1084.9392,-1084.9392
1090,-1089.938,-1089.938
1095,-1094.9369,-1094.9369
1100,-1099.9356,-1099.9356
1105,-1104.9344,-1104.9344
1110,-1109.933,-1109.933
1115,-1114.9316,-1114.9316
1120,-1119.9302,-1119.9302
1125,-1124.9287,-1124.9287
1130,-1129.9271,-1129.9271
1135,-1134.9255,-1134.9255
1140,-1139.9237,-1139.9237
1145,-1144.9219,-1144.9219
1150,-1149.9201,-1149.9201
1155,-1154.9181,-1154.9181
1160,-1159.916,-1159.916
1165,-1164.9138,-1164.9138
1170,-1169.9115,-1169.9115
1175,-1174.9091,-1174.9091
1180,-1179.9066,-1179.9066
1185,-1184.9039,-1184.9039
1190,-1189.9011,-1189.9011
1195,-1194.8982,-1194.8982
1200,-1199.895,-1199.895
1205,-1204.8917,-1204.8917
1210,-1209.8882,-1209.8882
1215,-1214.8844,-1214.8844
1220,-1219.8805,-1219.8805
1225,-1224.8762,-1224.8762
1230,-1229.8717,-1229.8717
1235,-1234.8669,-1234.8669
1240,-1239.8618,-1239.8618
1245,-1244.8563,-1244.8563
1250,-1249.8503,-1249.8503
1255,-1254.8439,-1254.8439
1260,-1259.837,-1259.837
1265,-1264.8295,-1264.8295
1270,-1269.8214,-1269.8214
1275,-1274.8126,-1274.8126
1280,-1279.8029,-1279.8029
1285,-1284.7923,-1284.7923
1290,-1289.7806,-1289.7806
1295,-1294.7676,-1294.7676
1300,-1299.7532,-1299.7532
1305,-1304.7371,-1304.7371
1310,-1309.7189,-1309.7189
1315,-1314.6983,-1314.6983
1320,-1319.6746,-1319.6746
1325,-1324.6473,-1324.6473
1330,-1329.6153,-1329.6153
1335,-1334.5774,-1334.5774
1340,-1339.5317,-1339.5317
1345,-1344.4755,-1344.4755
1350,-1349.4044,-1349.4044
1355,-1354.3114,-1354.3114
1360,-1359.1843,-1359.1843
1365,-1363.9984,-1363.9984
1370,-1368.6982,-1368.6982
1375,-1373.1213,-1373.1213
1380,-1376.5649,-1376.5649
1385,-1377.0995,-1377.0929
1390,-1377.0995,-1342.9675
1395,-1377.0995,-1370.0568
1400,-1377.0995,-1377.0107
1405,-1377.0995,-826.2597
1410,-1377.0995,-826.2597
1415,-1377.0995,-826.2597
1420,-1377.0995,-826.2597
1425,-1377.0995,-826.2597
1430,-1377.0995,-826.2597
1435,-1377.0995,-826.2597
1440,-1377.0995,-826.2597
1445,-1377.0995,-826.2597
1450,-1377.0995,-826.2597
1455,-1377.0995,-826.2597
1460,-1377.0995,-826.2597
1465,-1377.0995,-826.2597
1470,-1377.0995,-826.2597
1475,-1377.0995,-826.2597
1480,-1377.0995,-826.2597
1485,-1377.0995,-826.2597
1490,-1377.0995,-826.2597
1495,-1377.0995,-826.2597
1500,-1377.0995,-826.2597
1505,-1377.0995,-826.2597
1510,-1377.0995,-826.2597
1515,-1377.0995,-826.2597
1520,-1377.0995,-826.2597
1525,-1377.0995,-826.2597
1530,-1377.0995,-826.2597
1535,-1377.0995,-826.2597
1540,-1377.0995,-826.2597
1545,-1377.0995,-826.2597
1550,-1377.0995,-826.2597
1555,-1377.0995,-826.2597
1560,-1377.0995,-826.2597
1565,-1377.0995,-826.2597
1570,-1377.0995,-826.2597
1575,-1377.0995,-826.2597
1580,-1377.0995,-826.2597
1585,-1377.0995,-826.2597
1590,-1377.0995,-826.2597
1595,-1377.0995,-826.2597
1600,-1377.0995,-826.2597
1605,-1377.0995,-826.2597
1610,-1377.0995,-826.2597
1615,-1377.0995,-826.2597
1620,-1377.0995,-826.2597
1625,-1377.0995,-826.2597
1630,-1377.0995,-826.2597
1635,-1377.0995,-826.2597
1640,-1377.0995,-826.2597
1645,-1377.0995,-826.2597
1650,-1377.0995,-826.2597
1655,-1377.0995,-826.2597
1660,-1377.0995,-826.2597
1665,-1377.0995,-826.2597
1670,-1377.0995,-826.2597
1675,-1377.0995,-826.2597
1680,-1377.0995,-826.2597
1685,-1377.0995,-826.2597
1690,-1377.0995,-826.2597
1695,-1377.0995,-826.2597
1700,-1377.0995,-826.2597
1705,-1377.0995,-826.2597
1710,-1377.0995,-826.2597
1715,-1377.0995,-826.2597
1720,-1377.0995,-826.2597
1725,-1377.0995,-826.2597
1730,-1377.0995,-826.2597
1735,-1377.0995,-826.2597
1740,-1377.0995,-826.2597
1745,-1377.0995,-826.2597
1750,-1377.0995,-826.2597
1755,-1377.0995,-826.2597
1760,-1377.0995,-826.2597
1765,-1377.0995,-826.2597
1770,-1377.0995,-826.2597
1775,-1377.0995,-826.2597
1780,-1377.0995,-826.2597
1785,-1377.0995,-826.2597
1790,-1377.0995,-826.2597
1795,-1377.0995,-826.2597
1800,-1377.0995,-826.2597
1805,-1377.0995,-826.2597
1810,-1377.0995,-826.2597
1815,-1377.0995,-826.2597
1820,-1377.0995,-826.2597
1825,-1377.0995,-826.2597
1830,-1377.0995,-826.2597
1835,-1377.0995,-826.2597
1840,-1377.0995,-826.2597
1845,-1377.0995,-826.2597
1850,-1377.0995,-826.2597
1855,-1377.0995,-826.2597
1860,-1377.0995,-826.2597
1865,-1377.0995,-826.2597
1870,-1377.0995,-826.2597
1875,-1377.0995,-826.2597
1880,-1377.0995,-826.2597
1885,-1377.0995,-826.2597
1890,-1377.0995,-826.2597
1895,-1377.0995,-826.2597
1900,-1377.0995,-826.2597
1905,-1377.0995,-826.2597
1910,-1377.0995,-826.2597
1915,-1377.0995,-826.2597
1920,-1377.0995,-826.2597
1925,-1377.0995,-826.2597
1930,-1377.0995,-826.2597
1935,-1377.0995,-826.2597
1940,-1377.0995,-826.2597
1945,-1377.0995,-826.2597
1950,-1377.0995,-826.2597
1955,-1377.0995,-826.2597
1960,-1377.0995,-826.2597
1965,-1377.0995,-826.2597
1970,-1377.0995,-826.2597
1975,-1377.0995,-826.2597
1980,-1377.0995,-826.2597
1985,-1377.0995,-826.2597
1990,-1377.0995,-826.2597
1995,-1377.0995,-826.2597
2000,-1377.0995,-826.2597
2005,-1377.0995,-826.2597
2010,-1377.0995,-826.2597
2015,-1377.0995,-826.2597
2020,-1377.0995,-826.2597
2025,-1377.0995,-826.2597
2030,-1377.0995,-826.2597
2035,-1377.0995,-826.2597
2040,-1377.0995,-826.2597
2045,-1377.0995,-826.2597
2050,-1377.0995,-826.2597
2055,-1377.0995,-826.2597
2060,-1377.0995,-826.2597
2065,-1377.0995,-826.2597
2070,-1377.0995,-826.2597
2075,-1377.0995,-826.2597
2080,-1377.0995,-826.2597
2085,-1377.0995,-826.2597
2090,-1377.0995,-826.2597
2095,-1377.0995,-826.2597
2100,-1377.0995,-826.2597
2105,-1377.0995,-826.2597
2110,-1377.0995,-826.2597
2115,-1377.0995,-826.2597
2120,-1377.0995,-826.2597
2125,-1377.0995,-826.2597
2130,-1377.0995,-826.2597
2135,-1377.0995,-826.2597
2140,-1377.0995,-826.2597
2145,-1377.0995,-826.2597
2150,-1377.0995,-826.2597
2155,-1377.0995,-826.2597
2160,-1377.0995,-826.2597
2165,-1377.0995,-826.2597
2170,-1377.0995,-826.2597
2175,-1377.0995,-826.2597
2180,-1377.0995,-826.2597
2185,-1377.0995,-826.2597
2190,-1377.0995,-826.2597
2195,-1377.0995,-826.2597
2200,-1377.0995,-826.2597
2205,-1377.0995,-826.2597
2210,-1377.0995,-826.2597
2215,-1377.0995,-826.2597
2220,-1377.0995,-826.2597
2225,-1377.0995,-826.2597
2230,-1377.0995,-826.2597
2235,-1377.0995,-826.2597
2240,-1377.0995,-826.2597
2245,-1377.0995,-826.2597
2250,-1377.0995,-826.2597
2255,-1377.0995,-826.2597
2260,-1377.0995,-826.2597
2265,-1377.0995,-826.2597
2270,-1377.0995,-826.2597
2275,-1377.0995,-826.2597
2280,-1377.0995,-826.2597
2285,-1377.0995,-826.2597
2290,-1377.0995,-826.2597
2295,-1377.0995,-826.2597
2300,-1377.0995,-826.2597
2305,-1377.0995,-826.2597
2310,-1377.0995,-826.2597
2315,-1377.0995,-826.2597
2320,-1377.0995,-826.2597
2325,-1377.0995,-826.2597
2330,-1377.0995,-826.2597
2335,-1377.0995,-826.2597
2340,-1377.0995,-826.2597
2345,-1377.0995,-826.2597
2350,-1377.0995,-826.2597
2355,-1377.0995,-826.2597
2360,-1377.0995,-826.2597
2365,-1377.0995,-826.2597
2370,-1377.0995,-826.2597
2375,-1377.0995,-826.2597
2380,-1377.0995,-826.2597
2385,-1377.0995,-826.2597
2390,-1377.0995,-826.2597
2395,-1377.0995,-826.2597
2400,-1377.0995,-826.2597
2405,-1377.0995,-826.2597
2410,-1377.0995,-826.2597
2415,-1377.0995,-826.2597
2420,-1377.0995,-826.2597
2425,-1377.0995,-826.2597
2430,-1377.0995,-826.2597
2435,-1377.0995,-826.2597
2440,-1377.0995,-826.2597
2445,-1377.0995,-826.2597
2450,-1377.0995,-826.2597
2455,-1377.0995,-826.2597
2460,-1377.0995,-826.2597
2465,-1377.0995,-826.2597
2470,-1377.0995,-826.2597
2475,-1377.0995,-826.2597
2480,-1377.0995,-826.2597
2485,-1377.0995,-826.2597
2490,-1377.0995,-826.2597
2495,-1377.0995,-826.2597
2500,-1377.0995,-826.2597
2505,-1377.0995,-826.2597
2510,-1377.0995,-826.2597
2515,-1377.0995,-826.2597
2520,-1377.0995,-826.2597
2525,-1377.0995,-826.2597
2530,-1377.0995,-826.2597
2535,-1377.0995,-826.2597
2540,-1377.0995,-826.2597
2545,-1377.0995,-826.2597
2550,-1377.0995,-826.2597
2555,-1377.0995,-826.2597
2560,-1377.0995,-826.2597
2565,-1377.0995,-826.2597
2570,-1377.0995,-826.2597
2575,-1377.0995,-826.2597
2580,-1377.0995,-826.2597
2585,-1377.0995,-826.2597
2590,-1377.0995,-826.2597
2595,-1377.0995,-826.2597
2600,-1377.0995,-826.2597
2605,-1377.0995,-826.2597
2610,-1377.0995,-826.2597
2615,-1377.0995,-826.2597
2620,-1377.0995,-826.2597
2625,-1377.0995,-826.2597
2630,-1377.0995,-826.2597
2635,-1377.0995,-826.2597
2640,-1377.0995,-826.2597
2645,-1377.0995,-826.2597
2650,-1377.0995,-826.2597
2655,-1377.0995,-826.2597
2660,-1377.0995,-826.2597
2665,-1377.0995,-826.2597
2670,-1377.0995,-826.2597
2675,-1377.0995,-826.2597
2680,-1377.0995,-826.2597
2685,-1377.0995,-826.2597
2690,-1377.0995,-826.2597
2695,-1377.0995,-826.2597
2700,-1377.0995,-826.2597
2705,-1377.0995,-826.2597
2710,-1377.0995,-826.2597
2715,-1377.0995,-826.2597
2720,-1377.0995,-826.2597
2725,-1377.0995,-826.2597
2730,-1377.0995,-826.2597
2735,-1377.0995,-826.2597
2740,-1377.0995,-826.2597
2745,-1377.0995,-826.2597
2750,-1377.0995,-826.2597
2755,-1377.0995,-826.2597
2760,-1377.0995,-826.2597
2765,-1377.0995,-826.2597
2770,-1377.0995,-826.2597
2775,-1377.0995,-826.2597
2780,-1377.0995,-826.2597
2785,-1377.0995,-826.2597
2790,-1377.0995,-826.2597
2795,-1377.0995,-826.2597
2800,-1377.0995,-826.2597
2805,-1377.0995,-826.2597
2810,-1377.0995,-826.2597
2815,-1377.0995,-826.2597
2820,-1377.0995,-826.2597
2825,-1377.0995,-826.2597
2830,-1377.0995,-826.2597
2835,-1377.0995,-826.2597
2840,-1377.0995,-826.2597
2845,-1377.0995,-826.2597
2850,-1377.0995,-826.2597
2855,-1377.0995,-826.2597
2860,-1377.0995,-826.2597
2865,-1377.0995,-826.2597
2870,-1377.0995,-826.2597
2875,-1377.0995,-826.2597
2880,-1377.0995,-826.2597
2885,-1377.0995,-826.2597
2890,-1377.0995,-826.2597
2895,-1377.0995,-826.2597
2900,-1377.0995,-826.2597
2905,-1377.0995,-826.2597
2910,-1377.0995,-826.2597
2915,-1377.0995,-826.2597
2920,-1377.0995,-826.2597
2925,-1377.0995,-826.2597
2930,-1377.0995,-826.2597
2935,-1377.0995,-826.2597
2940,-1377.0995,-826.2597
2945,-1377.0995,-826.2597
2950,-1377.0995,-826.2597
2955,-1377.0995,-826.2597
2960,-1377.0995,-826.2597
2965,-1377.0995,-826.2597
2970,-1377.0995,-826.2597
2975,-1377.0995,-826.2597
2980,-1377.0995,-826.2597
2985,-1377.0995,-826.2597
2990,-1377.0995,-826.2597
2995,-1377.0995,-826.2597
3000,-1377.0995,-826.2597
3005,-1377.0995,-826.2597
3010,-1377.0995,-826.2597
3015,-1377.0995,-826.2597
3020,-1377.0995,-826.2597
3025,-1377.0995,-826.2597
3030,-1377.0995,-826.2597
3035,-1377.0995,-826.2597
3040,-1377.0995,-826.2597
3045,-1377.0995,-826.2597
3050,-1377.0995,-826.2597
3055,-1377.0995,-826.2597
3060,-1377.0995,-826.2597
3065,-1377.0995,-826.2597
3070,-1377.0995,-826.2597
3075,-1377.0995,-826.2597
3080,-1377.0995,-826.2597
3085,-1377.0995,-826.2597
3090,-1377.0995,-826.2597
3095,-1377.0995,-826.2597
3100,-1377.0995,-826.2597
3105,-1377.0995,-826.2597
3110,-1377.0995,-826.2597
3115,-1377.0995,-826.2597
3120,-1377.0995,-826.2597
3125,-1377.0995,-826.2597
3130,-1377.0995,-826.2597
3135,-1377.0995,-826.2597
3140,-1377.0995,-826.2597
3145,-1377.0995,-826.2597
3150,-1377.0995,-826.2597
3155,-1377.0995,-826.2597
3160,-1377.0995,-826.2597
3165,-1377.0995,-826.2597
3170,-1377.0995,-826.2597
3175,-1377.0995,-826.2597
3180,-1377.0995,-826.2597
3185,-1377.0995,-826.2597
3190,-1377.0995,-826.2597
3195,-1377.0995,-826.2597
3200,-1377.0995,-826.2597
3205,-1377.0995,-826.2597
3210,-1377.0995,-826.2597
3215,-1377.0995,-826.2597
3220,-1377.0995,-826.2597
3225,-1377.0995,-826.2597
3230,-1377.0995,-826.2597
3235,-1377.0995,-826.2597
3240,-1377.0995,-826.2597
3245,-1377.0995,-826.2597
3250,-1377.0995,-826.2597
3255,-1377.0995,-826.2597
3260,-1377.0995,-826.2597
3265,-1377.0995,-826.2597
3270,-1377.0995,-826.2597
3275,-1377.0995,-826.2597
3280,-1377.0995,-826.2597
3285,-1377.0995,-826.2597
3290,-1377.0995,-826.2597
3295,-1377.0995,-826.2597
3300,-1377.0995,-826.2597
3305,-1377.0995,-826.2597
3310,-1377.0995,-826.2597
3315,-1377.0995,-826.2597
3320,-1377.0995,-826.2597
3325,-1377.0995,-826.2597
